Date,Open,High,Low,Close
2014-07-24,1363.88,1368.34,1358.62,1362.12
2014-07-25,1362.17,1364.85,1355.55,1362.64
2014-07-28,1366.71,1370.21,1358.39,1368.02
2014-07-29,1373.75,1374.62,1361.31,1361.31
2014-07-30,1369.12,1370.97,1355.51,1358.01
2014-07-31,1349.83,1352.28,1330.13,1336.17
2014-08-01,1333.69,1340.77,1318.21,1328.10
2014-08-04,1334.58,1344.79,1326.42,1343.58
2014-08-05,1332.34,1340.00,1322.23,1327.61
2014-08-06,1322.61,1340.39,1320.53,1334.76
2014-08-07,1334.39,1340.38,1314.39,1320.83
2014-08-08,1316.95,1334.45,1313.72,1334.40
2014-08-11,1342.24,1350.31,1340.34,1343.71
2014-08-12,1341.64,1343.88,1333.46,1338.57
2014-08-13,1332.60,1342.68,1330.06,1339.07
2014-08-14,1337.46,1337.73,1329.66,1334.28
2014-08-15,1340.40,1342.81,1326.34,1332.60
2014-08-18,1332.60,1355.41,1332.60,1355.20
2014-08-19,1352.62,1362.08,1352.45,1357.96
2014-08-20,1354.64,1361.97,1354.25,1360.03
2014-08-21,1358.65,1358.65,1347.06,1351.57
2014-08-22,1345.51,1348.65,1336.82,1346.82
2014-08-25,1351.25,1355.03,1345.69,1349.22
2014-08-26,1349.09,1367.20,1349.09,1365.19
2014-08-27,1362.31,1363.75,1354.46,1359.55
2014-08-28,1342.75,1342.75,1325.23,1327.72
2014-08-29,1330.85,1334.63,1321.35,1333.80
2014-09-02,1334.75,1334.75,1325.69,1327.16
2014-09-03,1335.50,1349.72,1335.50,1341.12
2014-09-04,1340.27,1355.94,1338.16,1340.41
2014-09-05,1338.02,1341.08,1329.54,1341.04
2014-09-08,1336.17,1336.27,1317.59,1321.36
2014-09-09,1321.36,1326.49,1308.85,1313.24
2014-09-10,1313.24,1313.52,1300.55,1309.72
2014-09-11,1307.55,1323.17,1307.55,1322.56
2014-09-12,1320.76,1320.76,1308.98,1313.34
2014-09-15,1314.99,1320.26,1311.42,1313.91
2014-09-16,1311.37,1337.42,1306.65,1332.16
2014-09-17,1349.67,1352.59,1340.13,1343.75
2014-09-18,1346.47,1349.49,1341.86,1346.65
2014-09-19,1345.13,1346.97,1323.09,1326.45
2014-09-22,1311.07,1311.07,1284.55,1290.43
2014-09-23,1290.29,1294.95,1282.95,1283.48
2014-09-24,1290.22,1291.72,1277.07,1282.47
2014-09-25,1269.33,1269.33,1244.09,1251.08
2014-09-26,1249.81,1251.56,1243.97,1246.46
2014-09-29,1235.88,1235.88,1219.62,1221.32
2014-09-30,1221.32,1225.76,1210.65,1217.94
2014-10-01,1217.94,1217.94,1182.77,1188.16
2014-10-02,1189.19,1194.49,1165.97,1190.30
2014-10-03,1183.40,1185.38,1167.69,1168.27
2014-10-06,1190.72,1217.49,1171.49,1186.56
2014-10-07,1181.36,1186.89,1170.24,1170.81
2014-10-08,1170.98,1183.40,1146.14,1182.44
2014-10-09,1180.79,1181.24,1145.00,1148.16
2014-10-10,1135.06,1142.36,1117.01,1117.10
2014-10-13,1139.24,1157.68,1132.88,1133.54
2014-10-14,1144.05,1173.62,1139.05,1153.59
2014-10-15,1138.34,1146.78,1110.04,1141.79
2014-10-16,1116.04,1144.56,1108.89,1133.30
2014-10-17,1134.15,1146.22,1128.42,1133.87
2014-10-20,1126.68,1135.17,1124.23,1134.09
2014-10-21,1139.19,1157.79,1139.19,1154.45
2014-10-22,1154.45,1156.44,1140.98,1141.71
2014-10-23,1142.80,1162.39,1141.66,1152.44
2014-10-24,1153.57,1174.00,1153.57,1171.06
2014-10-27,1151.06,1151.06,1134.02,1141.18
2014-10-28,1150.54,1173.17,1148.31,1172.19
2014-10-29,1176.18,1180.30,1143.82,1152.17
2014-10-30,1142.25,1148.61,1130.88,1144.40
2014-10-31,1144.17,1168.48,1137.32,1167.68
2014-11-03,1162.79,1162.79,1146.82,1148.89
2014-11-04,1143.41,1144.26,1116.48,1127.58
2014-11-05,1127.27,1134.20,1117.22,1127.56
2014-11-06,1123.25,1124.42,1112.63,1115.37
2014-11-07,1115.37,1141.57,1115.37,1138.60
2014-11-10,1138.73,1145.10,1116.94,1118.78
2014-11-11,1106.87,1109.91,1099.99,1107.94
2014-11-12,1104.60,1115.35,1098.45,1102.19
2014-11-13,1102.35,1108.68,1087.99,1091.43
2014-11-14,1086.94,1106.37,1083.58,1103.48
2014-11-17,1104.40,1105.82,1092.63,1100.08
2014-11-18,1096.56,1096.91,1088.93,1089.58
2014-11-19,1084.54,1084.54,1063.94,1066.32
2014-11-20,1053.69,1073.35,1051.99,1071.92
2014-11-21,1104.80,1119.82,1104.80,1112.84
2014-11-24,1112.93,1118.76,1105.97,1109.70
2014-11-25,1110.58,1117.98,1107.51,1114.07
2014-11-26,1118.77,1119.90,1106.70,1109.31
2014-11-28,1101.68,1101.68,1069.73,1071.38
2014-12-01,1067.06,1067.55,1042.33,1047.95
2014-12-02,1054.61,1059.94,1036.28,1038.39
2014-12-03,1043.53,1067.77,1043.53,1062.13
2014-12-04,1053.04,1056.44,1044.98,1050.38
2014-12-05,1046.12,1059.48,1040.72,1046.90
2014-12-08,1046.90,1046.90,1015.49,1017.83
2014-12-09,1007.48,1026.56,1000.21,1019.33
2014-12-10,1013.44,1013.44,983.78,984.94
2014-12-11,978.46,983.35,967.80,968.92
2014-12-12,963.74,964.22,937.33,937.37
2014-12-15,939.57,943.23,915.63,915.66
2014-12-16,924.20,945.52,917.91,923.21
2014-12-17,923.21,960.01,923.21,955.70
2014-12-18,965.80,977.93,952.71,965.62
2014-12-19,964.90,994.58,963.96,992.41
2014-12-22,991.80,993.93,971.62,974.60
2014-12-23,977.52,991.24,973.85,984.77
2014-12-24,982.10,985.16,973.07,981.36
2014-12-26,985.72,999.94,985.53,989.52
2014-12-29,989.52,1001.67,988.41,993.16
2014-12-30,994.16,1008.00,993.35,998.87
2014-12-31,999.48,1003.84,986.30,990.61
2015-01-02,987.29,991.47,972.88,979.56
2015-01-05,960.35,960.35,934.68,939.91
2015-01-06,945.80,956.75,932.84,942.83
2015-01-07,955.82,961.38,948.82,956.86
2015-01-08,959.27,975.26,955.72,971.15
2015-01-09,968.56,968.56,952.52,959.61
2015-01-12,949.58,949.58,924.35,940.33
2015-01-13,942.75,947.85,921.36,926.74
2015-01-14,907.47,908.12,880.05,898.68
2015-01-15,906.80,911.28,892.87,894.77
2015-01-16,897.76,917.08,897.76,917.05
2015-01-20,916.83,917.92,905.91,913.33
2015-01-21,910.29,929.71,907.99,929.35
2015-01-22,936.99,941.53,927.29,940.83
2015-01-23,923.05,923.28,896.58,896.59
2015-01-26,895.03,904.88,887.09,901.70
2015-01-27,892.37,905.21,887.57,900.40
2015-01-28,906.57,908.02,885.13,886.17
2015-01-29,888.11,891.72,868.52,879.14
2015-01-30,869.16,890.74,862.71,883.12
2015-02-02,885.59,902.44,882.75,900.53
2015-02-03,911.87,942.34,911.87,941.22
2015-02-04,930.15,930.15,913.71,918.11
2015-02-05,921.16,938.11,921.16,936.34
2015-02-06,930.13,935.97,923.96,926.28
2015-02-09,930.04,956.14,929.99,946.09
2015-02-10,939.20,939.20,918.58,926.62
2015-02-11,920.88,929.98,910.21,926.83
2015-02-12,943.76,953.20,942.99,951.82
2015-02-13,960.83,981.57,960.83,980.19
2015-02-17,979.99,979.99,965.28,972.43
2015-02-18,972.43,980.79,963.94,970.41
2015-02-19,962.31,967.91,952.19,964.94
2015-02-20,963.84,975.93,958.99,974.12
2015-02-23,966.15,966.15,947.38,951.28
2015-02-24,955.25,969.94,952.13,967.71
2015-02-25,964.56,966.42,956.22,961.71
2015-02-26,957.81,958.08,946.73,949.97
