Series,Year,Period,Value
CEU3200000035,1982,M03,60.1
CEU3200000035,1982,M04,59.9
CEU3200000035,1982,M05,60.7
CEU3200000035,1982,M06,61.8
CEU3200000035,1982,M07,60.9
CEU3200000035,1982,M08,62.5
CEU3200000035,1982,M09,63.8
CEU3200000035,1982,M10,62.5
CEU3200000035,1982,M11,62.7
CEU3200000035,1982,M12,63
CEU3200000035,1983,M01,61.7
CEU3200000035,1983,M02,61.1
CEU3200000035,1983,M03,62.7
CEU3200000035,1983,M04,63.6
CEU3200000035,1983,M05,64.5
CEU3200000035,1983,M06,66.2
CEU3200000035,1983,M07,65.8
CEU3200000035,1983,M08,67.4
CEU3200000035,1983,M09,69.2
CEU3200000035,1983,M10,68.6
CEU3200000035,1983,M11,68.8
CEU3200000035,1983,M12,69.3
CEU3200000035,1984,M01,67.9
CEU3200000035,1984,M02,68.1
CEU3200000035,1984,M03,68.6
CEU3200000035,1984,M04,69.5
CEU3200000035,1984,M05,69.5
CEU3200000035,1984,M06,70.7
CEU3200000035,1984,M07,69.9
CEU3200000035,1984,M08,71.3
CEU3200000035,1984,M09,72.1
CEU3200000035,1984,M10,70.9
CEU3200000035,1984,M11,71.4
CEU3200000035,1984,M12,71.8
CEU3200000035,1985,M01,69.9
CEU3200000035,1985,M02,69.2
CEU3200000035,1985,M03,70.1
CEU3200000035,1985,M04,70.1
CEU3200000035,1985,M05,70.4
CEU3200000035,1985,M06,71.8
CEU3200000035,1985,M07,71
CEU3200000035,1985,M08,72.9
CEU3200000035,1985,M09,73.9
CEU3200000035,1985,M10,73
CEU3200000035,1985,M11,73.4
CEU3200000035,1985,M12,74.8
CEU3200000035,1986,M01,72.4
CEU3200000035,1986,M02,71.5
CEU3200000035,1986,M03,72.7
CEU3200000035,1986,M04,72.4
CEU3200000035,1986,M05,73.2
CEU3200000035,1986,M06,74.5
CEU3200000035,1986,M07,73.6
CEU3200000035,1986,M08,75.5
CEU3200000035,1986,M09,76.3
CEU3200000035,1986,M10,75.5
CEU3200000035,1986,M11,76.3
CEU3200000035,1986,M12,77.3
CEU3200000035,1987,M01,75
CEU3200000035,1987,M02,75.2
